Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
509,Daniele Rugani,it ITA,DF,Empoli,20,1994,38,38,"3,420",38,3,0,3,3,0,0,0,0,0.08,0,0.08,0.08,0.08,Matches
510,Mário Rui,pt POR,"DF,MF",Empoli,23,1991,34,28,"2,599",28.9,0,4,4,0,0,0,9,0,0,0.14,0.14,0,0.14,Matches
511,Jacopo Sala,it ITA,"DF,FW",Hellas Verona,22,1991,16,16,"1,183",13.1,2,2,4,2,0,0,3,2,0.15,0.15,0.3,0.15,0.3,Matches
512,Mohamed Salah,eg EGY,"FW,MF",Fiorentina,22,1992,16,10,908,10.1,6,3,9,6,0,0,0,0,0.59,0.3,0.89,0.59,0.89,Matches
513,Antonio Sanabria,py PAR,FW,Roma,18,1996,2,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
514,Juan Sánchez Miño,ar ARG,"DF,MF",Torino,24,1990,11,4,481,5.3,0,1,1,0,0,0,1,0,0,0.19,0.19,0,0.19,Matches
515,Gianluca Sansone,it ITA,FW,Sampdoria,27,1987,4,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
516,Nicola Sansone,it ITA,"FW,MF",Sassuolo,22,1991,35,30,"2,495",27.7,5,4,9,5,0,0,4,1,0.18,0.14,0.32,0.18,0.32,Matches
517,Fabiano Santacroce,it ITA,DF,Parma,27,1986,15,12,"1,005",11.2,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches
518,Davide Santon,it ITA,DF,Inter,23,1991,9,7,717,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
519,Riccardo Saponara,it ITA,"FW,MF",Empoli,22,1991,17,17,"1,214",13.5,7,3,10,6,1,1,3,1,0.52,0.22,0.74,0.44,0.67,Matches
520,Riccardo Saponara,it ITA,"FW,MF",Milan,22,1991,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
521,Gennaro Sardo,it ITA,DF,Chievo,35,1979,9,5,527,5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
522,Marco Sau,it ITA,"FW,MF",Cagliari,26,1987,28,20,"1,794",19.9,7,6,13,7,0,0,3,0,0.35,0.3,0.65,0.35,0.65,Matches
523,Stefan Savić,me MNE,"DF,MF",Fiorentina,23,1991,29,28,"2,513",27.9,2,1,3,2,0,0,5,1,0.07,0.04,0.11,0.07,0.11,Matches
