Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Ignazio Abate,it ITA,DF,Milan,28,1986,27,27,"2,248",25,1,1,2,1,0,0,7,0,0.04,0.04,0.08,0.04,0.08,Matches
2,Christian Abbiati,it ITA,GK,Milan,38,1977,1,0,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
3,Francesco Acerbi,it ITA,DF,Sassuolo,27,1988,36,36,"3,240",36,4,0,4,4,0,0,3,0,0.11,0,0.11,0.11,0.11,Matches
4,Robert Acquafresca,it ITA,FW,Bologna,27,1987,6,2,208,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5,Afriyie Acquah,gh GHA,MF,Torino,23,1992,29,22,"1,888",21,2,3,5,2,0,0,9,0,0.1,0.14,0.24,0.1,0.24,Matches
6,Claud Adjapong,it ITA,"DF,MF",Sassuolo,17,1998,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
7,Ali Adnan Kadhim,iq IRQ,"MF,DF",Udinese,21,1993,28,21,"1,904",21.2,1,1,2,1,0,0,6,0,0.05,0.05,0.09,0.05,0.09,Matches
8,Luiz Adriano,br BRA,FW,Milan,28,1987,26,12,"1,194",13.3,4,0,4,3,1,1,4,0,0.3,0,0.3,0.23,0.23,Matches
9,Rodrigo Aguirre,uy URU,FW,Udinese,20,1994,10,3,340,3.8,0,1,1,0,0,0,1,0,0,0.26,0.26,0,0.26,Matches
10,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,24,1990,33,30,"2,661",29.6,4,1,5,4,0,0,6,0,0.14,0.03,0.17,0.14,0.17,Matches
11,Arlind Ajeti,al ALB,DF,Frosinone,21,1993,16,15,"1,218",13.5,1,0,1,1,0,0,5,1,0.07,0,0.07,0.07,0.07,Matches
12,Fabrizio Alastra,it ITA,GK,Palermo,17,1997,2,1,144,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
13,Michelangelo Albertazzi,it ITA,DF,Hellas Verona,24,1991,10,9,702,7.8,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
14,Raúl Albiol,es ESP,DF,Napoli,29,1985,36,36,"3,240",36,1,1,2,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,Matches
15,Alex,br BRA,DF,Milan,33,1982,25,24,"2,091",23.2,3,1,4,3,0,0,5,0,0.13,0.04,0.17,0.13,0.17,Matches
16,Allan,br BRA,MF,Napoli,24,1991,35,32,"2,818",31.3,3,5,8,3,0,0,5,0,0.1,0.16,0.26,0.1,0.26,Matches
17,Marcos Alonso,es ESP,"MF,DF",Fiorentina,24,1990,31,26,"2,347",26.1,3,4,7,3,0,0,8,0,0.12,0.15,0.27,0.12,0.27,Matches
18,Ricky Álvarez,ar ARG,"MF,FW",Sampdoria,27,1988,13,9,806,9,1,1,2,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,Matches
19,Amauri,it ITA,FW,Torino,35,1980,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
20,Felipe Anderson,br BRA,"FW,MF",Lazio,22,1993,35,21,"2,071",23,7,4,11,7,0,0,2,0,0.3,0.17,0.48,0.3,0.48,Matches
21,Ionuț Andrei Radu,ro ROU,GK,Inter,,,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
